@RELATION awards

@ATTRIBUTE year DATE "yyyy"
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE budget NUMERIC
@ATTRIBUTE revenue NUMERIC
@ATTRIBUTE averagerating NUMERIC
@ATTRIBUTE numvotes NUMERIC
@ATTRIBUTE class NUMERIC
@ATTRIBUTE nominations NUMERIC

@DATA
1977, 175, 26000000, 50800000, 7.4, 42801, 4, 4
1972, 101, 5000000, 5308710, 7, 68, 0, 0
1992, 106, 40000000, 45500800, 6, 18322, 0, 1
1993, 90, 10600000, 22160100, 5.6, 413, 0, 0
1916, 50, 110000000, 113330000, 7.4, 7, 0, 0
1976, 99, 13000000, 214966, 6.1, 304, 0, 0
1990, 115, 26000000, 61490000, 6.6, 65806, 0, 2
1943, 119, 80000000, 43291000, 7.2, 1475, 0, 0
1981, 116, 5000000, 42365600, 7, 48618, 1, 8
1993, 97, 3500000, 27900000, 7.5, 42528, 2, 4
1970, 10, 60000000, 71844400, 5.6, 165, 0, 0
1908, 0, 6000000, 2600000, 6.4, 5, 0, 0
1991, 97, 23000, 1227510, 7.1, 16229, 1, 3
1977, 98, 245000000, 200074000, 6.3, 399, 0, 0
1940, 88, 2600000, 84300000, 7.5, 100144, 0, 4
1965, 25, 80000000, 130313000, 8.3, 8660, 11, 11
1979, 0, 15000000, 13782800, 6.7, 41, 0, 0
1942, 106, 17000000, 56816700, 6.5, 80, 0, 0
1986, 86, 3000000, 19472100, 5.9, 27877, 0, 2
1995, 97, 12000000, 56631600, 6.8, 135066, 6, 11
1988, 90, 11000000, 39025000, 5.4, 278, 0, 0
1984, 164, 16000000, 26400000, 7.4, 13931, 19, 26
1944, 106, 2700000, 95016, 6.9, 324, 0, 0
1913, 6, 30000000, 51097700, 5.1, 29, 0, 0
1989, 96, 3000000, 11642300, 5.2, 24981, 0, 1
1988, 69, 12500000, 48092800, 7.3, 65990, 0, 2
1977, 97, 500000, 17000000, 5.9, 3563, 0, 3
1991, 118, 19000000, 130727000, 8.6, 978028, 49, 38
1978, 134, 24000000, 13000000, 5.3, 11610, 1, 7
1971, 100, 46000000, 70327900, 6.6, 12938, 4, 6
1994, 286, 70000000, 47456400, 8.4, 14769, 20, 2
1947, 18, 30000000, 18298600, 7.7, 327, 0, 0
1983, 90, 16000000, 39825800, 7.1, 575, 4, 1
1972, 100, 40000000, 29113600, 7, 9648, 0, 0
1995, 110, 13000000, 23947, 5.8, 305, 0, 0
1985, 60, 17000000, 82234100, 6.1, 501, 0, 0
1965, 225, 20000000, 8000000, 6.6, 6971, 1, 1
